Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774587884,5,,Aggregated,1.400000,0.000000,1400,1400,1500,1500,1600,1800,1800,1900,1900,1900,1900,65,0,1400.0,1186.8473476918343,248.94790002144873,1885.3563999873586,409.4
1774587885,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,67,0,1400.0,1207.707432834536,248.94790002144873,1917.9118999745697,413.55223880597015
1774587886,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,69,0,1400.0,1217.707081157984,248.94790002144873,1917.9118999745697,416.9710144927536
1774587887,5,,Aggregated,1.600000,0.000000,1400,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,69,0,1400.0,1217.707081157984,248.94790002144873,1917.9118999745697,416.9710144927536
1774587888,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,72,0,1400.0,1231.7732888881842,248.94790002144873,1917.9118999745697,421.44444444444446
1774587889,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,75,0,1400.0,1222.8779106672544,248.94790002144873,1917.9118999745697,418.85333333333335
1774587890,5,,Aggregated,1.300000,0.000000,1400,1500,1500,1500,1600,1800,1900,1900,1900,1900,1900,76,0,1400.0,1210.0813565798728,248.94790002144873,1917.9118999745697,413.3421052631579
1774587891,5,,Aggregated,1.300000,0.000000,1400,1500,1500,1500,1600,1800,1900,1900,1900,1900,1900,76,0,1400.0,1210.0813565798728,248.94790002144873,1917.9118999745697,413.3421052631579
1774587892,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,80,0,1400.0,1226.0375875004684,248.94790002144873,1917.9118999745697,417.9
1774587893,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,80,0,1400.0,1226.0375875004684,248.94790002144873,1917.9118999745697,417.9
1774587894,5,,Aggregated,1.300000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,81,0,1400.0,1227.180169136436,248.94790002144873,1917.9118999745697,419.5308641975309
1774587896,5,,Aggregated,1.300000,0.000000,1400,1500,1500,1600,1600,1800,1900,1900,1900,1900,1900,81,0,1400.0,1227.180169136436,248.94790002144873,1917.9118999745697,419.5308641975309
1774587897,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1800,1900,2100,2100,2100,2100,84,0,1400.0,1251.3044273828632,248.94790002144873,2103.4014000324532,422.9047619047619
1774587898,5,,Aggregated,1.600000,0.000000,1400,1500,1600,1600,1800,1900,2000,2100,2100,2100,2100,86,0,1400.0,1263.7089883744836,248.94790002144873,2103.4014000324532,425.33720930232556
1774587899,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,1900,2000,2100,2100,2100,2100,87,0,1400.0,1252.112313795262,248.94790002144873,2103.4014000324532,420.44827586206895
1774587900,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,1900,2000,2100,2100,2100,2100,87,0,1400.0,1252.112313795262,248.94790002144873,2103.4014000324532,420.44827586206895
1774587901,5,,Aggregated,1.700000,0.000000,1400,1500,1600,1600,1800,1900,2000,2100,2100,2100,2100,88,0,1400.0,1253.9386670475571,248.94790002144873,2103.4014000324532,421.92045454545456
1774587902,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,91,0,1400.0,1292.1407373646366,248.94790002144873,2519.8884999845177,425.16483516483515
1774587903,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,93,0,1400.0,1293.3383322601276,248.94790002144873,2519.8884999845177,427.7096774193548
1774587904,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,93,0,1400.0,1293.3383322601276,248.94790002144873,2519.8884999845177,427.7096774193548
1774587905,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,95,0,1400.0,1296.1037852648205,248.94790002144873,2519.8884999845177,429.8315789473684
1774587906,5,,Aggregated,1.200000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,98,0,1400.0,1286.160096940727,248.94790002144873,2519.8884999845177,426.92857142857144
1774587907,5,,Aggregated,1.400000,0.000000,1400,1500,1600,1600,1800,2000,2500,2500,2500,2500,2500,100,0,1400.0,1286.861195001984,248.94790002144873,2519.8884999845177,429.14
1774587908,5,,Aggregated,1.400000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,101,0,1400.0,1276.6089891106592,248.94790002144873,2519.8884999845177,424.8910891089109
1774587909,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,102,0,1400.0,1266.5223235312355,247.76910000946373,2519.8884999845177,420.72549019607845
1774587910,5,,Aggregated,1.500000,0.000000,1400,1500,1600,1600,1800,1900,2200,2500,2500,2500,2500,104,0,1400.0,1270.679264424521,247.76910000946373,2519.8884999845177,422.1730769230769
1774587911,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,107,0,1400.0,1276.3025542078149,247.76910000946373,2519.8884999845177,424.7570093457944
1774587912,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,108,0,1400.0,1266.7832824097584,247.76910000946373,2519.8884999845177,420.8240740740741
1774587913,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,110,0,1400.0,1248.3313818208196,247.76910000946373,2519.8884999845177,413.1727272727273
1774587914,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,110,0,1400.0,1248.3313818208196,247.76910000946373,2519.8884999845177,413.1727272727273
1774587915,5,,Aggregated,2.000000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,113,0,1400.0,1255.508534516006,247.76910000946373,2519.8884999845177,416.4070796460177
1774587916,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,114,0,1400.0,1256.4200693006187,247.76910000946373,2519.8884999845177,417.359649122807
1774587917,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,117,0,1400.0,1239.2875658145222,247.76910000946373,2519.8884999845177,410.8376068376068
1774587918,5,,Aggregated,1.800000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,118,0,1400.0,1239.3647144090826,247.76910000946373,2519.8884999845177,411.8813559322034
1774587919,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,119,0,1400.0,1231.4634176490617,247.76910000946373,2519.8884999845177,408.4201680672269
1774587920,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,119,0,1400.0,1231.4634176490617,247.76910000946373,2519.8884999845177,408.4201680672269
1774587921,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,123,0,1400.0,1240.2389373997514,247.76910000946373,2519.8884999845177,412.4308943089431
1774587922,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,124,0,1400.0,1240.6535927434413,247.76910000946373,2519.8884999845177,413.43548387096774
1774587923,5,,Aggregated,1.800000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,125,0,1400.0,1242.2662088018842,247.76910000946373,2519.8884999845177,414.288
1774587924,5,,Aggregated,1.800000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,127,0,1400.0,1245.327203938789,247.76910000946373,2519.8884999845177,415.8582677165354
1774587925,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,130,0,1400.0,1239.1616800011923,247.76910000946373,2519.8884999845177,413.9923076923077
1774587926,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,131,0,1400.0,1231.6167282455117,247.76910000946373,2519.8884999845177,410.8320610687023
1774587927,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,131,0,1400.0,1231.6167282455117,247.76910000946373,2519.8884999845177,410.8320610687023
1774587928,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,135,0,1400.0,1218.5255600010148,247.76910000946373,2519.8884999845177,406.27407407407406
1774587929,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,136,0,1400.0,1218.9533308834036,247.76910000946373,2519.8884999845177,407.1470588235294
1774587930,5,,Aggregated,1.400000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,137,0,1400.0,1211.8863218989102,247.76910000946373,2519.8884999845177,404.17518248175185
1774587931,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,139,0,1400.0,1214.4690302167953,247.76910000946373,2519.8884999845177,405.6546762589928
1774587932,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,140,0,1400.0,1215.2345585724106,247.76910000946373,2519.8884999845177,406.75714285714287
1774587933,5,,Aggregated,1.800000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,142,0,1400.0,1216.5999873250257,247.76910000946373,2519.8884999845177,408.5633802816901
1774587934,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1500,1600,1900,2200,2500,2500,2500,2500,144,0,1400.0,1219.6933993064804,247.76910000946373,2519.8884999845177,410.59722222222223
1774587935,5,,Aggregated,1.700000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,145,0,1400.0,1221.060486897778,247.76910000946373,2519.8884999845177,411.5586206896552
1774587936,5,,Aggregated,1.800000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,147,0,1400.0,1222.739378232303,247.76910000946373,2519.8884999845177,413.08843537414964
1774587937,5,,Aggregated,1.500000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,148,0,1400.0,1222.9535027035054,247.76910000946373,2519.8884999845177,413.60135135135135
1774587938,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1500,1600,1900,2200,2500,2500,2500,2500,150,0,1400.0,1227.2344780010947,247.76910000946373,2519.8884999845177,415.25333333333333
1774587939,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1500,1600,1900,2100,2500,2500,2500,2500,152,0,1400.0,1229.7802506589887,247.76910000946373,2519.8884999845177,416.6907894736842
1774587940,5,,Aggregated,1.700000,0.000000,1400,1500,1500,1500,1600,1900,2100,2500,2500,2500,2500,152,0,1400.0,1229.7802506589887,247.76910000946373,2519.8884999845177,416.6907894736842
1774587941,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1500,1600,1900,2100,2500,2500,2500,2500,154,0,1400.0,1232.900454546325,247.76910000946373,2519.8884999845177,417.90909090909093
1774587942,5,,Aggregated,1.600000,0.000000,1400,1500,1500,1500,1600,1900,2100,2500,2500,2500,2500,154,0,1400.0,1232.900454546325,247.76910000946373,2519.8884999845177,417.90909090909093
1774587943,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,157,0,1400.0,1250.5147070071519,247.76910000946373,2519.8884999845177,420.21019108280257
1774587944,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,157,0,1400.0,1250.5147070071519,247.76910000946373,2519.8884999845177,420.21019108280257
1774587945,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1800,1900,2200,2500,2500,2500,2500,159,0,1400.0,1254.4487194976705,247.76910000946373,2519.8884999845177,421.1698113207547
1774587946,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,161,0,1400.0,1256.8769118020466,247.76910000946373,2519.8884999845177,422.6894409937888
1774587947,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,162,0,1400.0,1256.9428716055377,247.76910000946373,2519.8884999845177,422.9691358024691
1774587948,5,,Aggregated,1.400000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,164,0,1400.0,1250.8992640253316,247.76910000946373,2519.8884999845177,421.0060975609756
1774587949,5,,Aggregated,1.400000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,166,0,1400.0,1251.6821945792328,247.76910000946373,2519.8884999845177,421.9096385542169
1774587950,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,168,0,1400.0,1252.4080142868029,247.76910000946373,2519.8884999845177,423.2142857142857
1774587951,5,,Aggregated,1.200000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,169,0,1400.0,1252.3153000011814,247.76910000946373,2519.8884999845177,423.81065088757396
1774587952,5,,Aggregated,1.400000,0.000000,1400,1500,1500,1600,1700,1900,2200,2500,2500,2500,2500,170,0,1400.0,1246.593581765945,247.76910000946373,2519.8884999845177,421.3176470588235
1774587953,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1500,1600,1900,2200,2500,2500,2500,2500,172,0,1400.0,1247.5804412804496,247.76910000946373,2519.8884999845177,422.7848837209302
1774587954,5,,Aggregated,1.500000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,174,0,1400.0,1248.3318511509717,247.76910000946373,2519.8884999845177,423.7931034482759
1774587955,5,,Aggregated,1.500000,0.000000,1400,1400,1500,1500,1600,1900,2200,2500,2500,2500,2500,174,0,1400.0,1248.3318511509717,247.76910000946373,2519.8884999845177,423.7931034482759
1774587956,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1500,1600,1900,2200,2500,2500,2500,2500,177,0,1400.0,1252.7864508483412,247.76910000946373,2519.8884999845177,425.40677966101697
1774587957,5,,Aggregated,1.500000,0.000000,1400,1500,1500,1500,1600,1900,2200,2500,2500,2500,2500,178,0,1400.0,1253.5948000005917,247.76910000946373,2519.8884999845177,425.938202247191
